Restaurant,Food Type,Food Menu,Location,Reviews,Stars
Little Papa,"['Đồ nước', 'Đồ ăn Việt Nam']","['Phở gà', 'Phở bò', 'Bún bò']","Đống Đa, Hà Nội","['Món ăn ngon vl', 'Siu ngon lun', 'Ăn hơi ngọt không hợp mình lắm']",4.5
Chả Cá Hà Nội,['Nướng'],"['Sườn nướng BBQ', 'Bò nướng tảng', 'Ba chỉ nướng riềng mẻ']","186 Phố Cổ, Gia Lâm, Hà Nội","['Highly recommend', 'Đồ ăn ngon, giá cả hợp lý rất đáng tiền.', 'Không chê vào đâu được. đậm đà hương vị rất đáng tiền.']",5.0
The Vũ's Kitchen,['Đồ ăn vặt'],['Tào phớ'],"139 Đường Thanh Niên, Hai Bà Trưng, Hà Nội","['Sẽ quay lại. trình bày đẹp mắt', 'Quán này đỉnh! rất đáng tiền.', 'Ngon lắm!']",4.5
Sushi Đỗ Việt,['Đồ ăn vặt'],['Trà sữa'],"50 Đường Giải Phóng, Bắc Từ Liêm, Hà Nội","['Đáng thử', 'Sẽ quay lại. giá cả hợp lý', 'Quán này đỉnh! trình bày đẹp mắt chắc chắn sẽ giới thiệu cho bạn bè.']",4.4
Quán Phạm Quê,"['Món Hàn', 'Món Nhật']","['Udon', 'Bibimbap', 'Ramen', 'Cơm lươn Unagi', 'Tteokbokki']","83 Phố Hàng Bài, Hoàng Mai, Hà Nội","['Sẽ quay lại. đậm đà hương vị must try!', 'Đồ ăn ngon, giá cả hợp lý']",4.4
Tiệm Vũ,"['Phở', 'Hải sản', 'Cơm nhà']","['Sò huyết nướng', 'Ghẹ hấp', 'Tôm hùm hấp bia', 'Ốc luộc', 'Cá diếc kho khế', 'Phở xào', 'Phở áp chảo']","45 Đường Kim Mã, Nam Từ Liêm, Hà Nội","['Đồ ăn ngon, phục vụ nhiệt tình rất đáng tiền.']",4.6
Cơm Hoàng,['Đồ ăn Việt Nam'],['Gỏi cuốn'],"128 Đường Giải Phóng, Gia Lâm, Hà Nội","['Siu ngon lun', 'Ngon xuất sắc! giá cả hợp lý sẽ ủng hộ dài dài.', 'Rất hài lòng. món ăn rất vừa miệng chắc chắn sẽ giới thiệu cho bạn bè.']",4.9
Góc Trần,"['Đồ ăn vặt', 'Bún', 'Hải sản']","['Bún đậu mắm tôm', 'Chân gà sả tắc', 'Cua rang me', 'Bún ốc', 'Bún mọc', 'Tôm hùm hấp bia', 'Xoài lắc']","74 Đường Láng, Tây Hồ, Hà Nội",['Ngon xuất sắc! đậm đà hương vị sẽ ủng hộ dài dài.'],4.9
Sushi Lê Sài Gòn,"['Phở', 'Món nhậu', 'Cơm văn phòng']","['Lòng xào dưa', 'Cơm đùi gà', 'Phở chiên phồng', 'Ếch xào sả ớt']","113 Phố Xã Đàn, Gia Lâm, Hà Nội","['Tuyệt vời! món ăn rất vừa miệng', 'Ngon xuất sắc! trình bày đẹp mắt', 'Ngon lắm!']",4.1
Nhà hàng Phan Quê,['Đặc sản vùng miền'],['Cao Lầu Hội An'],"122 Đường Thanh Niên, Đống Đa, Hà Nội","['Ngon xuất sắc! đậm đà hương vị chắc chắn sẽ giới thiệu cho bạn bè.', 'Sẽ quay lại. phục vụ nhiệt tình chắc chắn sẽ giới thiệu cho bạn bè.']",5.0
